session ID,session_duration,total_pages_viewed,main_category_count,clothing_models_count,avg_price,max_price,min_price,price_range,country,cluster
89,1,1,1,1,50.0,50,50,0,29,3
90,1,1,1,1,38.0,38,38,0,29,1
91,5,1,4,5,43.8,67,28,39,29,0
92,1,1,1,1,38.0,38,38,0,24,1
93,1,1,1,1,43.0,43,43,0,24,1
94,13,5,3,13,45.38461538461539,72,23,49,29,2
95,2,1,1,2,48.0,48,48,0,9,3
96,5,3,3,5,48.4,57,38,19,9,0
97,1,1,1,1,43.0,43,43,0,21,1
98,1,1,1,1,28.0,28,28,0,21,1
99,9,2,2,8,46.55555555555556,62,38,24,29,0
100,12,1,3,11,37.583333333333336,48,28,20,29,0
101,1,1,1,1,57.0,57,57,0,29,3
102,4,1,3,3,41.75,48,33,15,29,1
103,4,1,1,2,38.0,38,38,0,9,1
104,3,1,1,3,60.333333333333336,67,52,15,29,3
105,2,1,1,2,59.5,67,52,15,29,3
106,2,1,1,2,51.5,65,38,27,29,3
107,27,4,4,25,36.51851851851852,62,20,42,29,2
108,6,1,2,5,40.333333333333336,62,28,34,29,0
109,5,2,2,5,46.6,62,38,24,29,0
110,8,4,3,8,41.0,62,23,39,29,0
111,1,1,1,1,62.0,62,62,0,29,3
112,8,2,3,8,44.625,62,33,29,29,0
113,9,2,3,8,49.77777777777778,67,28,39,24,0
114,3,2,1,3,38.0,48,28,20,24,1
115,2,2,2,2,35.5,38,33,5,9,1
116,3,3,2,3,52.333333333333336,62,38,24,9,0
117,1,1,1,1,38.0,38,38,0,29,1
118,1,1,1,1,38.0,38,38,0,29,1
119,10,2,3,10,50.6,82,28,54,9,0
120,7,2,2,6,51.57142857142857,62,38,24,9,0
121,8,2,3,6,36.75,48,28,20,29,0
122,3,1,2,3,39.666666666666664,43,38,5,29,1
123,8,2,2,8,36.75,43,23,20,29,1
124,7,3,4,7,44.0,62,28,34,29,0
125,38,3,4,37,45.921052631578945,67,20,47,29,2
126,2,1,1,2,38.0,48,28,20,29,1
127,6,2,2,4,39.166666666666664,50,33,17,29,1
128,1,1,1,1,28.0,28,28,0,29,1
129,1,1,1,1,33.0,33,33,0,29,1
130,6,3,1,6,35.5,43,28,15,29,1
131,3,1,1,3,43.0,48,33,15,29,1
132,9,1,3,9,47.55555555555556,67,23,44,29,0
133,4,1,1,4,56.0,67,48,19,29,3
134,2,2,2,2,35.5,43,28,15,29,1
135,4,2,2,4,36.75,38,33,5,29,1
136,1,1,1,1,62.0,62,62,0,29,3
137,3,1,1,3,41.333333333333336,43,38,5,29,1
138,15,4,2,10,47.46666666666667,65,23,42,29,0
139,6,1,3,5,51.666666666666664,72,38,34,29,0
140,4,1,2,4,38.0,43,28,15,29,1
141,4,1,2,4,34.25,48,23,25,29,1
142,4,2,2,4,41.5,57,28,29,29,0
143,5,4,2,5,41.8,57,28,29,29,0
144,3,3,2,3,44.333333333333336,57,38,19,29,0
145,4,2,3,4,55.5,72,38,34,29,0
146,19,3,3,11,47.421052631578945,72,28,44,29,0
147,1,1,1,1,38.0,38,38,0,29,1
148,6,2,1,6,52.5,67,38,29,29,3
149,4,1,2,4,40.5,43,38,5,29,1
150,1,1,1,1,38.0,38,38,0,29,1
151,1,1,1,1,23.0,23,23,0,29,1
152,4,1,2,4,40.5,48,33,15,29,1
153,6,3,4,5,37.333333333333336,67,20,47,29,0
154,4,2,2,4,54.75,62,48,14,29,3
155,2,1,1,2,47.5,62,33,29,29,3
156,1,1,1,1,23.0,23,23,0,29,1
157,32,4,4,30,40.34375,62,28,34,29,2
158,1,1,1,1,38.0,38,38,0,29,1
159,2,2,2,2,47.5,62,33,29,29,0
160,3,3,1,3,43.0,48,38,10,29,1
161,1,1,1,1,33.0,33,33,0,29,1
162,6,2,2,5,34.666666666666664,48,23,25,29,0
163,3,1,1,3,36.333333333333336,48,28,20,29,1
164,4,3,2,4,34.25,43,28,15,29,1
165,6,2,2,6,49.0,57,33,24,29,0
166,1,1,1,1,38.0,38,38,0,29,1
167,5,1,1,5,40.0,48,28,20,44,1
168,49,4,2,32,42.285714285714285,57,18,39,34,2
169,1,1,1,1,67.0,67,67,0,29,3
170,11,2,2,11,47.54545454545455,62,33,29,29,0
171,8,1,2,7,45.375,62,33,29,29,0
172,6,2,2,6,51.666666666666664,67,38,29,29,0
173,27,2,3,23,46.592592592592595,67,28,39,29,2
174,12,3,2,9,38.416666666666664,48,23,25,29,0
175,1,1,1,1,57.0,57,57,0,29,3
176,1,1,1,1,67.0,67,67,0,29,3
177,4,2,2,3,43.0,48,38,10,29,1
178,2,2,2,2,40.5,43,38,5,29,1
179,3,2,1,3,57.0,62,52,10,29,3
180,1,1,1,1,33.0,33,33,0,29,1
181,14,5,4,12,42.214285714285715,62,23,39,29,2
182,9,1,1,8,33.55555555555556,43,23,20,29,1
183,18,1,3,18,48.666666666666664,82,28,54,29,0
184,44,4,3,44,39.5,62,20,42,29,2
185,2,1,1,2,33.0,38,28,10,29,1
186,11,4,3,11,32.90909090909091,52,20,32,29,0
187,9,3,2,9,36.333333333333336,43,28,15,29,1
188,17,2,2,14,45.35294117647059,82,28,54,29,0
189,2,1,1,2,40.5,43,38,5,29,1
190,5,2,2,5,37.4,48,20,28,29,0
191,1,1,1,1,57.0,57,57,0,29,3
192,19,3,3,19,50.05263157894737,82,28,54,29,2
193,6,2,2,6,42.0,62,28,34,29,0
194,12,3,3,12,36.333333333333336,48,23,25,29,0
195,7,2,3,7,37.285714285714285,43,33,10,29,1
196,31,4,3,28,40.645161290322584,67,23,44,29,2
197,8,1,3,8,45.125,62,28,34,9,0
198,5,1,3,5,46.8,57,38,19,29,0
199,1,1,1,1,48.0,48,48,0,29,3
200,6,2,2,6,42.333333333333336,82,20,62,29,0
201,30,4,4,27,38.43333333333333,62,20,42,29,2
202,4,1,1,4,58.25,67,52,15,29,3
203,3,1,1,3,39.666666666666664,43,38,5,29,1
204,1,1,1,1,28.0,28,28,0,29,1
205,2,2,1,2,47.5,57,38,19,29,3
206,10,2,2,10,48.1,67,33,34,29,0
207,11,1,4,9,42.0,52,23,29,29,0
208,1,1,1,1,38.0,38,38,0,29,1
209,1,1,1,1,62.0,62,62,0,29,3
210,11,1,3,11,41.81818181818182,62,28,34,29,0
211,19,3,3,19,45.578947368421055,82,20,62,29,2
212,25,4,3,18,37.0,48,23,25,29,2
213,10,2,4,8,48.5,62,28,34,29,0
214,6,2,1,4,50.0,52,48,4,29,3
215,6,2,2,5,44.333333333333336,57,33,24,29,0
216,6,2,1,6,45.666666666666664,62,33,29,29,0
217,7,3,1,7,47.57142857142857,62,33,29,29,0
218,11,3,1,8,37.36363636363637,57,18,39,29,0
219,2,1,1,2,40.5,43,38,5,29,1
220,31,3,4,18,47.483870967741936,82,28,54,29,2
221,2,1,1,2,40.5,48,33,15,29,1
222,9,2,3,9,43.333333333333336,62,28,34,29,0
223,1,1,1,1,33.0,33,33,0,44,1
224,1,1,1,1,28.0,28,28,0,44,1
225,6,4,1,6,37.0,52,28,24,29,0
226,4,2,2,4,44.0,57,33,24,29,0
227,1,1,1,1,52.0,52,52,0,29,3
228,2,1,2,2,38.0,43,33,10,29,1
229,13,1,2,12,50.15384615384615,82,23,59,29,0
230,11,1,2,10,48.72727272727273,67,33,34,29,0
231,9,2,2,9,39.111111111111114,67,18,49,29,0
232,7,3,4,7,48.142857142857146,67,28,39,29,0
233,6,2,2,6,33.833333333333336,38,28,10,29,1
234,9,3,2,9,37.888888888888886,50,20,30,29,0
235,3,1,2,3,34.666666666666664,48,23,25,29,1
236,14,3,4,12,39.57142857142857,57,23,34,29,0
237,2,1,1,2,52.5,62,43,19,29,3
238,4,3,3,4,47.75,67,28,39,29,0
239,31,5,3,27,38.806451612903224,57,20,37,29,2
240,3,2,2,3,46.0,52,38,14,29,1
241,1,1,1,1,38.0,38,38,0,29,1
242,10,3,2,10,46.6,67,20,47,29,0
243,1,1,1,1,28.0,28,28,0,29,1
244,14,4,3,12,47.92857142857143,82,26,56,29,2
245,4,2,2,4,44.25,48,38,10,29,1
246,1,1,1,1,57.0,57,57,0,29,3
247,16,2,2,16,41.6875,57,23,34,29,0
248,9,3,4,9,40.55555555555556,57,23,34,29,0
249,3,2,1,3,36.333333333333336,43,28,15,29,1
250,11,1,3,9,46.90909090909091,82,38,44,28,0
251,2,1,1,2,62.0,67,57,10,29,3
252,2,1,1,1,62.0,62,62,0,29,3
253,25,3,3,20,49.96,82,28,54,9,2
254,17,1,1,17,47.529411764705884,82,28,54,29,0
255,2,2,2,2,33.0,38,28,10,29,1
256,2,1,1,2,54.5,57,52,5,29,3
257,9,1,3,8,49.44444444444444,82,28,54,24,0
258,3,1,1,3,52.333333333333336,67,38,29,24,3
259,1,1,1,1,43.0,43,43,0,9,1
260,2,1,1,2,35.5,38,33,5,29,1
261,13,3,2,13,51.30769230769231,67,28,39,29,0
262,13,5,2,13,42.69230769230769,65,28,37,29,0
263,2,2,2,2,55.0,62,48,14,29,3
264,12,3,1,12,37.583333333333336,48,28,20,29,0
265,1,1,1,1,33.0,33,33,0,29,1
266,5,1,2,5,39.0,43,33,10,29,1
267,15,1,3,13,43.4,62,33,29,29,0
268,4,1,2,4,35.5,48,23,25,29,1
269,2,1,1,1,43.0,43,43,0,29,1
270,7,1,3,5,42.857142857142854,52,33,19,29,0
271,5,1,2,5,52.6,82,33,49,29,0
272,1,1,1,1,43.0,43,43,0,9,1
273,17,2,4,14,46.11764705882353,62,28,34,29,0
274,1,1,1,1,82.0,82,82,0,29,3
275,16,4,3,12,44.5625,62,28,34,29,0
276,4,3,2,4,41.5,72,28,44,29,0
277,29,4,4,29,41.724137931034484,72,23,49,29,2
278,21,3,2,16,49.095238095238095,82,28,54,29,2
279,20,3,3,10,38.6,57,28,29,29,0
280,1,1,1,1,57.0,57,57,0,29,3
281,10,2,1,10,51.8,67,38,29,29,0
282,6,2,2,5,50.0,67,38,29,29,0
283,2,1,2,2,40.5,48,33,15,29,1
284,1,1,1,1,52.0,52,52,0,29,3
285,1,1,1,1,57.0,57,57,0,29,3
286,2,1,2,2,40.5,43,38,5,29,1
287,13,4,3,11,43.84615384615385,62,28,34,29,0
288,2,2,2,2,62.0,67,57,10,29,3
289,4,1,3,4,47.75,62,38,24,29,0
290,5,3,1,5,32.0,43,23,20,29,1
291,6,1,4,5,37.0,52,23,29,29,0
292,46,3,3,37,43.369565217391305,62,23,39,29,2
293,1,1,1,1,55.0,55,55,0,29,3
294,6,1,4,6,46.833333333333336,62,33,29,29,0
295,10,3,3,7,30.7,38,20,18,29,0
296,8,3,3,7,38.5,57,28,29,29,0
297,1,1,1,1,48.0,48,48,0,29,3
298,1,1,1,1,38.0,38,38,0,29,1
299,4,2,3,4,48.75,67,33,34,29,0
300,3,1,1,3,47.666666666666664,62,38,24,29,3
301,12,2,4,12,34.166666666666664,57,23,34,29,0
302,2,1,1,1,23.0,23,23,0,29,1
303,1,1,1,1,18.0,18,18,0,29,1
304,8,4,3,8,42.625,67,28,39,29,0
305,15,1,3,15,42.0,62,23,39,29,0
306,4,2,1,4,41.75,43,38,5,29,1
307,8,4,3,8,40.25,62,28,34,9,0
308,1,1,1,1,33.0,33,33,0,29,1
309,2,1,1,1,38.0,38,38,0,29,1
310,9,1,1,9,51.77777777777778,67,38,29,29,3
311,1,1,1,1,52.0,52,52,0,29,3
312,3,1,2,3,38.0,43,33,10,46,1
313,1,1,1,1,62.0,62,62,0,29,3
314,13,3,3,12,44.84615384615385,65,23,42,44,0
315,1,1,1,1,28.0,28,28,0,29,1
316,6,3,2,6,37.666666666666664,48,26,22,29,0
317,1,1,1,1,28.0,28,28,0,29,1
318,1,1,1,1,48.0,48,48,0,29,3
319,3,1,2,3,43.0,48,33,15,29,1
320,10,2,4,9,41.9,67,23,44,29,0
321,25,4,4,24,43.8,65,23,42,29,2
322,1,1,1,1,48.0,48,48,0,29,3
323,1,1,1,1,33.0,33,33,0,29,1
324,8,2,2,8,44.125,62,28,34,29,0
325,11,3,3,10,44.90909090909091,62,18,44,29,0
326,9,3,4,9,41.666666666666664,57,28,29,29,0
327,14,2,2,13,38.57142857142857,62,23,39,29,0
328,3,1,2,3,59.0,82,33,49,29,0
329,4,1,2,4,57.0,72,48,24,29,3
330,8,1,4,8,43.25,67,23,44,29,0
331,8,3,3,8,42.25,57,28,29,29,0
332,13,3,2,13,44.46153846153846,72,23,49,29,0
333,3,2,1,3,65.33333333333333,67,62,5,29,3
334,7,4,2,7,37.714285714285715,57,20,37,29,0
335,7,2,2,7,45.57142857142857,57,33,24,29,0
336,8,3,3,8,44.25,67,28,39,29,0
337,7,3,2,7,50.285714285714285,62,38,24,9,0
338,2,1,1,2,54.5,57,52,5,9,3
339,5,2,2,5,58.2,67,43,24,29,3
340,4,1,1,4,58.5,67,43,24,9,3
341,16,2,2,14,42.25,72,23,49,29,0
342,32,4,3,18,39.15625,62,23,39,29,2
343,5,4,1,5,37.0,43,28,15,29,1
344,4,3,2,4,52.5,72,33,39,9,0
345,8,1,2,6,37.375,48,23,25,29,1
346,2,1,2,2,38.0,38,38,0,29,1
347,4,3,2,3,52.5,72,28,44,29,0
348,8,3,3,8,36.125,48,23,25,29,0
349,1,1,1,1,28.0,28,28,0,29,1
350,4,3,2,4,32.75,57,23,34,29,0
351,1,1,1,1,43.0,43,43,0,44,1
352,1,1,1,1,57.0,57,57,0,29,3
353,2,1,2,2,40.5,43,38,5,44,1
354,1,1,1,1,43.0,43,43,0,44,1
355,6,1,2,6,50.333333333333336,62,28,34,29,0
356,3,1,2,2,39.666666666666664,43,38,5,29,1
357,6,3,1,5,37.166666666666664,43,28,15,29,1
358,7,1,2,7,38.0,48,28,20,29,1
359,1,1,1,1,28.0,28,28,0,29,1
360,27,1,3,26,43.44444444444444,72,23,49,29,2
361,1,1,1,1,43.0,43,43,0,29,1
362,2,1,1,2,35.5,38,33,5,29,1
363,6,1,2,6,45.333333333333336,82,28,54,29,0
364,6,2,2,6,40.333333333333336,62,33,29,29,0
365,10,4,2,10,38.9,62,28,34,29,0
366,6,3,3,6,41.833333333333336,57,28,29,29,0
367,5,1,1,5,54.4,67,38,29,29,3
368,1,1,1,1,38.0,38,38,0,29,1
369,4,2,2,3,46.0,60,38,22,29,0
370,10,4,1,9,35.5,43,28,15,29,1
371,5,2,2,5,41.8,67,23,44,29,0
372,6,2,1,6,57.166666666666664,67,38,29,29,3
373,1,1,1,1,28.0,28,28,0,29,1
374,2,2,2,2,59.5,62,57,5,29,3
375,12,4,4,11,48.416666666666664,67,33,34,29,0
376,3,1,2,3,41.333333333333336,43,38,5,29,1
377,4,1,3,4,35.5,43,23,20,29,1
378,2,1,1,2,33.0,38,28,10,29,1
379,2,1,2,2,52.5,67,38,29,15,3
380,8,1,2,8,42.125,62,28,34,9,0
381,9,3,3,9,39.666666666666664,57,20,37,29,0
382,22,4,3,21,45.95454545454545,77,28,49,24,2
383,8,2,4,7,46.375,72,28,44,29,0
384,3,1,2,2,42.0,50,38,12,29,1
385,1,1,1,1,62.0,62,62,0,29,3
386,10,4,4,10,43.6,62,28,34,29,0
387,2,1,1,2,35.5,38,33,5,29,1
388,1,1,1,1,62.0,62,62,0,9,3
389,1,1,1,1,38.0,38,38,0,9,1
390,1,1,1,1,38.0,38,38,0,29,1
391,17,3,3,14,48.94117647058823,67,33,34,24,0
392,3,1,1,3,44.333333333333336,62,33,29,9,0
393,1,1,1,1,50.0,50,50,0,29,3
394,6,1,3,6,43.5,72,28,44,29,0
395,9,2,3,9,44.888888888888886,57,33,24,24,0
396,1,1,1,1,57.0,57,57,0,29,3
397,6,2,1,6,50.833333333333336,72,33,39,9,0
398,1,1,1,1,57.0,57,57,0,46,3
399,1,1,1,1,43.0,43,43,0,46,1
400,1,1,1,1,52.0,52,52,0,46,3
401,1,1,1,1,28.0,28,28,0,46,1
402,1,1,1,1,43.0,43,43,0,46,1
403,1,1,1,1,38.0,38,38,0,46,1
404,1,1,1,1,52.0,52,52,0,46,3
405,1,1,1,1,62.0,62,62,0,46,3
406,1,1,1,1,48.0,48,48,0,46,3
407,1,1,1,1,67.0,67,67,0,9,3
408,15,3,3,12,51.8,67,33,34,9,0
409,1,1,1,1,48.0,48,48,0,29,3
410,1,1,1,1,38.0,38,38,0,9,1
411,7,2,1,7,47.714285714285715,62,33,29,9,0
412,1,1,1,1,62.0,62,62,0,29,3
413,3,1,2,3,42.666666666666664,52,38,14,29,1
414,4,3,2,3,41.0,50,28,22,29,0
415,4,1,1,3,57.0,62,52,10,29,3
416,15,2,4,15,51.266666666666666,82,23,59,29,2
417,31,5,2,24,45.806451612903224,82,23,59,29,2
418,2,1,1,2,38.0,38,38,0,29,1
419,2,1,1,2,61.0,62,60,2,29,3
420,26,4,3,25,47.0,82,20,62,29,2
421,4,1,1,4,47.75,82,28,54,29,0
422,14,4,3,14,42.285714285714285,67,23,44,29,2
423,6,3,1,6,38.333333333333336,55,23,32,9,0
424,10,3,2,10,45.3,72,28,44,46,0
425,8,1,3,8,44.625,72,28,44,9,0
426,8,1,1,6,50.75,72,38,34,16,3
427,3,1,2,3,46.0,62,38,24,46,0
428,5,1,1,5,36.0,43,28,15,29,1
429,8,1,3,8,45.0,62,23,39,29,0
430,1,1,1,1,38.0,38,38,0,44,1
431,2,1,2,2,40.5,43,38,5,29,1
432,1,1,1,1,52.0,52,52,0,29,3
433,21,4,4,21,39.904761904761905,62,18,44,29,2
434,2,1,2,2,45.5,48,43,5,29,1
435,6,2,3,5,50.166666666666664,67,38,29,29,0
436,1,1,1,1,38.0,38,38,0,29,1
437,3,3,2,3,34.666666666666664,50,26,24,9,0
438,2,1,1,2,60.0,82,38,44,9,3
439,4,1,1,3,46.5,72,28,44,9,0
440,3,1,1,2,52.0,52,52,0,9,3
441,9,2,2,8,47.77777777777778,62,28,34,9,0
442,1,1,1,1,38.0,38,38,0,9,1
443,6,2,2,5,33.333333333333336,48,20,28,9,0
444,6,1,1,5,49.0,62,38,24,9,3
445,2,2,2,2,35.5,43,28,15,29,1
446,3,2,2,3,46.0,52,38,14,29,1
447,2,1,2,2,33.0,33,33,0,29,1
448,2,1,1,2,48.0,48,48,0,29,3
449,2,1,1,2,35.5,38,33,5,29,1
450,1,1,1,1,28.0,28,28,0,29,1
451,16,2,3,15,44.4375,65,28,37,29,0
452,2,1,2,2,45.0,62,28,34,29,0
453,4,1,2,2,30.5,38,28,10,29,1
454,9,4,2,7,34.111111111111114,43,28,15,29,0
455,2,1,2,2,47.5,52,43,9,29,3
456,15,5,4,13,44.86666666666667,67,23,44,29,2
457,2,1,2,2,47.5,52,43,9,29,3
458,2,1,1,2,27.0,28,26,2,29,1
459,9,2,3,9,44.888888888888886,62,38,24,29,0
460,13,3,3,12,42.38461538461539,62,20,42,29,0
461,4,3,2,3,46.25,62,28,34,28,0
462,40,2,2,23,46.35,67,28,39,9,2
463,6,4,1,6,40.5,48,33,15,29,0
464,6,2,3,6,53.5,82,38,44,9,0
465,5,1,2,5,46.4,57,33,24,29,0
466,12,2,3,11,47.75,82,33,49,29,0
467,2,1,1,2,52.5,62,43,19,29,3
468,1,1,1,1,48.0,48,48,0,29,3
469,4,2,1,4,41.5,52,28,24,29,1
470,3,2,2,3,54.0,57,48,9,44,3
471,5,2,1,5,52.2,57,38,19,29,3
472,8,3,4,7,47.5,62,28,34,29,0
473,6,1,1,2,38.0,48,33,15,29,1
474,9,3,2,8,51.77777777777778,67,33,34,29,0
475,2,2,1,2,50.0,62,38,24,29,3
476,4,3,3,4,45.0,62,28,34,29,0
477,4,2,2,4,31.75,33,28,5,9,1
478,16,1,3,12,45.8125,62,28,34,29,0
479,4,4,2,4,45.0,57,28,29,29,0
480,7,3,2,6,44.142857142857146,67,33,34,29,0
481,12,4,3,12,44.083333333333336,62,28,34,29,0
482,10,3,2,9,40.9,72,28,44,29,0
483,3,2,1,3,51.0,57,48,9,29,3
484,5,2,1,5,37.0,48,28,20,9,1
485,17,3,3,17,43.05882352941177,62,23,39,9,2
486,15,4,4,14,41.2,62,28,34,29,2
487,5,2,3,5,40.8,57,28,29,29,0
488,10,2,3,9,42.0,62,23,39,29,0
489,5,2,2,5,44.6,52,33,19,9,0
490,13,1,1,7,53.0,82,38,44,46,0
491,1,1,1,1,67.0,67,67,0,29,3
492,3,2,2,3,39.333333333333336,52,28,24,29,0
493,25,4,2,25,48.0,67,26,41,9,2
494,3,1,1,3,49.0,52,43,9,29,3
495,3,1,2,3,39.666666666666664,48,28,20,9,1
496,2,1,1,2,45.0,62,28,34,9,0
497,3,3,1,3,46.0,62,33,29,29,0
498,23,4,2,22,50.130434782608695,77,23,54,24,2
499,2,1,1,1,23.0,23,23,0,29,1
500,2,1,1,2,54.5,57,52,5,9,3
501,31,3,3,30,46.0,67,28,39,29,2
502,2,1,1,1,38.0,38,38,0,29,1
503,6,1,3,6,44.333333333333336,67,23,44,9,0
504,6,2,2,6,45.166666666666664,57,38,19,9,0
505,5,1,2,4,47.4,62,33,29,29,0
506,4,2,1,3,56.0,62,38,24,24,3
507,3,1,1,3,50.0,52,48,4,29,3
508,10,3,3,10,38.4,57,20,37,10,0
509,5,2,1,4,43.8,67,38,29,29,0
510,2,1,1,1,33.0,33,33,0,46,1
511,4,1,2,4,39.25,48,28,20,9,1
512,27,4,4,16,43.51851851851852,82,28,54,29,2
513,33,4,3,31,39.484848484848484,62,20,42,29,2
514,23,5,4,23,43.65217391304348,62,26,36,29,2
515,2,1,2,2,55.0,72,38,34,41,3
516,6,1,3,5,52.333333333333336,62,28,34,29,0
517,7,1,3,6,41.285714285714285,62,23,39,24,0
518,13,3,3,12,47.23076923076923,72,28,44,9,0
519,4,2,1,4,56.25,82,38,44,9,0
520,7,1,2,6,38.0,48,23,25,9,1
521,2,1,1,2,57.0,57,57,0,24,3
522,19,5,3,15,39.94736842105263,57,20,37,29,2
523,7,3,3,7,39.285714285714285,57,23,34,29,0
524,3,1,3,3,46.0,57,33,24,29,0
525,26,5,4,21,45.38461538461539,67,28,39,29,2
526,16,3,3,16,47.0625,62,28,34,29,0
527,1,1,1,1,28.0,28,28,0,29,1
528,2,1,1,2,45.0,52,38,14,29,1
529,5,4,3,5,39.8,62,33,29,29,0
530,4,2,1,4,56.0,62,43,19,29,3
531,12,3,4,11,47.333333333333336,67,28,39,29,0
532,2,1,2,2,55.0,72,38,34,41,3
533,7,3,2,7,36.857142857142854,57,23,34,29,0
534,11,2,2,11,48.27272727272727,62,33,29,9,0
535,2,1,2,2,40.5,43,38,5,9,1
536,6,3,1,6,32.166666666666664,43,23,20,29,1
537,6,2,2,6,42.666666666666664,62,28,34,9,0
538,3,1,1,3,48.0,48,48,0,9,3
539,25,2,3,18,42.12,60,23,37,9,2
540,6,1,3,6,43.666666666666664,72,28,44,29,0
541,4,1,1,4,40.5,43,38,5,9,1
542,25,4,3,25,42.4,67,26,41,27,2
543,1,1,1,1,43.0,43,43,0,9,1
544,13,3,3,12,40.0,77,18,59,29,0
545,1,1,1,1,57.0,57,57,0,29,3
546,2,1,2,2,45.0,52,38,14,9,1
547,6,2,2,6,38.666666666666664,52,28,24,29,0
548,5,3,3,5,39.8,57,28,29,29,0
549,1,1,1,1,28.0,28,28,0,29,1
